route_id,origin_iata,destination_iata,month,route_active,weekly_frequency_proxy,route_supply_confidence,route_supply_event_count,route_supply_event_ids,route_supply_carriers,route_supply_evidence_types,route_supply_source_titles,route_supply_source_urls
YKF_YYC,YKF,YYC,2021-09-01,1,3.0,high,1,YKF_YYC_2021_START,Flair,official_airport_release,Waterloo Airport and Flair Airlines Announce Additional Destinations,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d
YKF_YYC,YKF,YYC,2021-10-01,1,3.0,high,1,YKF_YYC_2021_START,Flair,official_airport_release,Waterloo Airport and Flair Airlines Announce Additional Destinations,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d
YKF_YYC,YKF,YYC,2021-11-01,1,3.0,high,1,YKF_YYC_2021_START,Flair,official_airport_release,Waterloo Airport and Flair Airlines Announce Additional Destinations,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d
YKF_YYC,YKF,YYC,2021-12-01,1,3.0,high,1,YKF_YYC_2021_START,Flair,official_airport_release,Waterloo Airport and Flair Airlines Announce Additional Destinations,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d
YKF_YYC,YKF,YYC,2022-01-01,,,uncovered,0,,,,,
YKF_YYC,YKF,YYC,2022-02-01,,,uncovered,0,,,,,
YKF_YYC,YKF,YYC,2022-03-01,,,uncovered,0,,,,,
YKF_YYC,YKF,YYC,2022-04-01,,,uncovered,0,,,,,
YKF_YYC,YKF,YYC,2022-05-01,,,uncovered,0,,,,,
YKF_YYC,YKF,YYC,2022-06-01,1,5.0,medium,1,YKF_YYC_2022_SUMMER,Flair,schedule_archive,Flair Airlines Summer 2022 Network Update,https://www.aeroroutes.com/eng/220407-f8ns22
YKF_YYC,YKF,YYC,2022-07-01,1,5.0,medium,1,YKF_YYC_2022_SUMMER,Flair,schedule_archive,Flair Airlines Summer 2022 Network Update,https://www.aeroroutes.com/eng/220407-f8ns22
YKF_YYC,YKF,YYC,2022-08-01,1,5.0,medium,1,YKF_YYC_2022_SUMMER,Flair,schedule_archive,Flair Airlines Summer 2022 Network Update,https://www.aeroroutes.com/eng/220407-f8ns22
