iata,month,statcan_geo,metric,value,source_table
YVR,2020-11-01,"Vancouver International, British Columbia",total_screened_passengers,104938,23100312
YVR,2020-12-01,"Vancouver International, British Columbia",total_screened_passengers,113106,23100312
YVR,2021-01-01,"Vancouver International, British Columbia",total_screened_passengers,96468,23100312
YVR,2021-02-01,"Vancouver International, British Columbia",total_screened_passengers,65596,23100312
YVR,2021-03-01,"Vancouver International, British Columbia",total_screened_passengers,75618,23100312
YVR,2021-04-01,"Vancouver International, British Columbia",total_screened_passengers,69623,23100312
YVR,2021-05-01,"Vancouver International, British Columbia",total_screened_passengers,74788,23100312
YVR,2021-06-01,"Vancouver International, British Columbia",total_screened_passengers,117418,23100312
YVR,2021-07-01,"Vancouver International, British Columbia",total_screened_passengers,274932,23100312
YVR,2021-08-01,"Vancouver International, British Columbia",total_screened_passengers,430983,23100312
YVR,2021-09-01,"Vancouver International, British Columbia",total_screened_passengers,373334,23100312
YVR,2021-10-01,"Vancouver International, British Columbia",total_screened_passengers,389939,23100312
YVR,2021-11-01,"Vancouver International, British Columbia",total_screened_passengers,364077,23100312
YVR,2021-12-01,"Vancouver International, British Columbia",total_screened_passengers,435297,23100312
YVR,2022-01-01,"Vancouver International, British Columbia",total_screened_passengers,289704,23100312
YVR,2022-02-01,"Vancouver International, British Columbia",total_screened_passengers,312014,23100312
YVR,2022-03-01,"Vancouver International, British Columbia",total_screened_passengers,467349,23100312
YVR,2022-04-01,"Vancouver International, British Columbia",total_screened_passengers,531421,23100312
YVR,2022-05-01,"Vancouver International, British Columbia",total_screened_passengers,613094,23100312
YVR,2022-06-01,"Vancouver International, British Columbia",total_screened_passengers,733101,23100312
YVR,2022-07-01,"Vancouver International, British Columbia",total_screened_passengers,832219,23100312
YVR,2022-08-01,"Vancouver International, British Columbia",total_screened_passengers,869941,23100312
YVR,2022-09-01,"Vancouver International, British Columbia",total_screened_passengers,768861,23100312
YVR,2022-10-01,"Vancouver International, British Columbia",total_screened_passengers,730765,23100312
YVR,2022-11-01,"Vancouver International, British Columbia",total_screened_passengers,664665,23100312
YVR,2022-12-01,"Vancouver International, British Columbia",total_screened_passengers,738724,23100312
YVR,2023-01-01,"Vancouver International, British Columbia",total_screened_passengers,711257,23100312
YVR,2023-02-01,"Vancouver International, British Columbia",total_screened_passengers,681571,23100312
YVR,2023-03-01,"Vancouver International, British Columbia",total_screened_passengers,801583,23100312
YVR,2023-04-01,"Vancouver International, British Columbia",total_screened_passengers,767067,23100312
YVR,2023-05-01,"Vancouver International, British Columbia",total_screened_passengers,834448,23100312
YVR,2023-06-01,"Vancouver International, British Columbia",total_screened_passengers,911940,23100312
YVR,2023-07-01,"Vancouver International, British Columbia",total_screened_passengers,1022138,23100312
YVR,2023-08-01,"Vancouver International, British Columbia",total_screened_passengers,1073277,23100312
YVR,2023-09-01,"Vancouver International, British Columbia",total_screened_passengers,929134,23100312
YVR,2023-10-01,"Vancouver International, British Columbia",total_screened_passengers,859892,23100312
YVR,2023-11-01,"Vancouver International, British Columbia",total_screened_passengers,768621,23100312
YVR,2023-12-01,"Vancouver International, British Columbia",total_screened_passengers,807222,23100312
YVR,2024-01-01,"Vancouver International, British Columbia",total_screened_passengers,788286,23100312
YVR,2024-02-01,"Vancouver International, British Columbia",total_screened_passengers,763740,23100312
YVR,2024-03-01,"Vancouver International, British Columbia",total_screened_passengers,856075,23100312
YVR,2024-04-01,"Vancouver International, British Columbia",total_screened_passengers,808445,23100312
YVR,2024-05-01,"Vancouver International, British Columbia",total_screened_passengers,901203,23100312
YVR,2024-06-01,"Vancouver International, British Columbia",total_screened_passengers,941308,23100312
YVR,2024-07-01,"Vancouver International, British Columbia",total_screened_passengers,1062506,23100312
YVR,2024-08-01,"Vancouver International, British Columbia",total_screened_passengers,1124411,23100312
YVR,2024-09-01,"Vancouver International, British Columbia",total_screened_passengers,947835,23100312
YVR,2024-10-01,"Vancouver International, British Columbia",total_screened_passengers,878580,23100312
YVR,2024-11-01,"Vancouver International, British Columbia",total_screened_passengers,800653,23100312
YVR,2024-12-01,"Vancouver International, British Columbia",total_screened_passengers,912733,23100312
YVR,2025-01-01,"Vancouver International, British Columbia",total_screened_passengers,797343,23100312
YVR,2025-02-01,"Vancouver International, British Columbia",total_screened_passengers,775814,23100312
YVR,2025-03-01,"Vancouver International, British Columbia",total_screened_passengers,881364,23100312
YVR,2025-04-01,"Vancouver International, British Columbia",total_screened_passengers,822131,23100312
YVR,2025-05-01,"Vancouver International, British Columbia",total_screened_passengers,929591,23100312
YVR,2025-06-01,"Vancouver International, British Columbia",total_screened_passengers,996623,23100312
YVR,2025-07-01,"Vancouver International, British Columbia",total_screened_passengers,1120208,23100312
YVR,2025-08-01,"Vancouver International, British Columbia",total_screened_passengers,1155465,23100312
YVR,2025-09-01,"Vancouver International, British Columbia",total_screened_passengers,999722,23100312
YVR,2025-10-01,"Vancouver International, British Columbia",total_screened_passengers,936380,23100312
YVR,2025-11-01,"Vancouver International, British Columbia",total_screened_passengers,815875,23100312
YVR,2025-12-01,"Vancouver International, British Columbia",total_screened_passengers,894299,23100312
YYC,2020-01-01,"Calgary International, Alberta",total_screened_passengers,487454,23100312
YYC,2020-02-01,"Calgary International, Alberta",total_screened_passengers,470783,23100312
