route_id,scenario,campaign_budget_cad,route_segment,end_of_period_route_status,capacity_required_flag,baseline_annual_passenger_proxy,max_lift_pct_adjusted,half_saturation_spend_cad_adjusted,response_share,incremental_passenger_proxy,incremental_pct_of_baseline_proxy,cost_per_incremental_passenger_proxy_cad,incremental_route_health_points,marketing_support_priority_score_v0,route_sustainability_score_v0,data_confidence_score,source_recommendation
YKF_YVR,base,50000,long_haul,inactive,1,92558.1204,0.0486,162000.0000,0.2358,1061.6281,0.0115,47.0975,2.2440,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first
YKF_YVR,base,75000,long_haul,inactive,1,92558.1204,0.0486,162000.0000,0.3165,1424.4630,0.0154,52.6514,3.0110,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first
YKF_YVR,base,100000,long_haul,inactive,1,92558.1204,0.0486,162000.0000,0.3817,1718.0547,0.0186,58.2054,3.6315,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first
YKF_YVR,base,150000,long_haul,inactive,1,92558.1204,0.0486,162000.0000,0.4808,2164.0881,0.0234,69.3133,4.5743,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first
YKF_YVR,base,250000,long_haul,inactive,1,92558.1204,0.0486,162000.0000,0.6068,2731.3733,0.0295,91.5290,5.7734,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first
YKF_YVR,base,400000,long_haul,inactive,1,92558.1204,0.0486,162000.0000,0.7117,3203.7745,0.0346,124.8527,6.7720,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first
YKF_YVR,optimistic,0,long_haul,inactive,1,92558.1204,0.0892,135000.0000,0.0000,0.0000,0.0000,,0.0000,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first
YKF_YVR,optimistic,25000,long_haul,inactive,1,92558.1204,0.0892,135000.0000,0.1562,1444.1681,0.0156,17.3110,2.0720,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first
YKF_YVR,optimistic,50000,long_haul,inactive,1,92558.1204,0.0892,135000.0000,0.2703,2498.0205,0.0270,20.0158,3.5840,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first
YKF_YVR,optimistic,75000,long_haul,inactive,1,92558.1204,0.0892,135000.0000,0.3571,3300.9557,0.0357,22.7207,4.7359,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first
YKF_YVR,optimistic,100000,long_haul,inactive,1,92558.1204,0.0892,135000.0000,0.4255,3933.0536,0.0425,25.4255,5.6428,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first
YKF_YVR,optimistic,150000,long_haul,inactive,1,92558.1204,0.0892,135000.0000,0.5263,4864.5663,0.0526,30.8352,6.9793,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first
YKF_YVR,optimistic,250000,long_haul,inactive,1,92558.1204,0.0892,135000.0000,0.6494,6001.7376,0.0648,41.6546,8.6108,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first
YKF_YVR,optimistic,400000,long_haul,inactive,1,92558.1204,0.0892,135000.0000,0.7477,6910.4119,0.0747,57.8837,9.9145,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first
YKF_YEG,conservative,0,long_haul,active,0,30922.6955,0.0272,130000.0000,0.0000,0.0000,0.0000,,0.0000,71.6207,73.3315,93.9236,Scale or defend with controlled campaign
YKF_YEG,conservative,25000,long_haul,active,0,30922.6955,0.0272,130000.0000,0.1613,122.0840,0.0039,204.7771,1.0724,71.6207,73.3315,93.9236,Scale or defend with controlled campaign
YKF_YEG,conservative,50000,long_haul,active,0,30922.6955,0.0272,130000.0000,0.2778,210.2557,0.0068,237.8057,1.8469,71.6207,73.3315,93.9236,Scale or defend with controlled campaign
YKF_YEG,conservative,75000,long_haul,active,0,30922.6955,0.0272,130000.0000,0.3659,276.9222,0.0090,270.8342,2.4325,71.6207,73.3315,93.9236,Scale or defend with controlled campaign
YKF_YEG,conservative,100000,long_haul,active,0,30922.6955,0.0272,130000.0000,0.4348,329.0959,0.0106,303.8628,2.8908,71.6207,73.3315,93.9236,Scale or defend with controlled campaign
YKF_YEG,conservative,150000,long_haul,active,0,30922.6955,0.0272,130000.0000,0.5357,405.4932,0.0131,369.9199,3.5619,71.6207,73.3315,93.9236,Scale or defend with controlled campaign
YKF_YEG,conservative,250000,long_haul,active,0,30922.6955,0.0272,130000.0000,0.6579,497.9740,0.0161,502.0342,4.3743,71.6207,73.3315,93.9236,Scale or defend with controlled campaign
YKF_YEG,conservative,400000,long_haul,active,0,30922.6955,0.0272,130000.0000,0.7547,571.2608,0.0185,700.2056,5.0181,71.6207,73.3315,93.9236,Scale or defend with controlled campaign
YKF_YEG,base,0,long_haul,active,0,30922.6955,0.0653,120000.0000,0.0000,0.0000,0.0000,,0.0000,71.6207,73.3315,93.9236,Scale or defend with controlled campaign
YKF_YEG,base,25000,long_haul,active,0,30922.6955,0.0653,120000.0000,0.1724,348.0095,0.0113,71.8371,1.7254,71.6207,73.3315,93.9236,Scale or defend with controlled campaign
YKF_YEG,base,50000,long_haul,active,0,30922.6955,0.0653,120000.0000,0.2941,593.6632,0.0192,84.2228,2.9434,71.6207,73.3315,93.9236,Scale or defend with controlled campaign
YKF_YEG,base,75000,long_haul,active,0,30922.6955,0.0653,120000.0000,0.3846,776.3288,0.0251,96.6086,3.8490,71.6207,73.3315,93.9236,Scale or defend with controlled campaign
YKF_YEG,base,100000,long_haul,active,0,30922.6955,0.0653,120000.0000,0.4545,917.4795,0.0297,108.9943,4.5489,71.6207,73.3315,93.9236,Scale or defend with controlled campaign
